"Descriptive_Activity_Name" "Subject" "Average"
"LAYING" "tBodyAcc-mean()-X" 0.268648643296245
"SITTING" "tBodyAcc-mean()-X" 0.273059614418965
"STANDING" "tBodyAcc-mean()-X" 0.279153494050367
"WALKING" "tBodyAcc-mean()-X" 0.276336875325203
"WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.288137227760313
"WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.26229464948342
"LAYING" "tBodyAcc-mean()-Y" -0.0183177280685082
"SITTING" "tBodyAcc-mean()-Y" -0.0126895730832639
"STANDING" "tBodyAcc-mean()-Y" -0.016151886473745
"WALKING" "tBodyAcc-mean()-Y" -0.0179068331339779
"WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0163119254923574
"WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0259232890342181
"LAYING" "tBodyAcc-mean()-Z" -0.107435631519084
"SITTING" "tBodyAcc-mean()-Z" -0.105517003220878
"STANDING" "tBodyAcc-mean()-Z" -0.106586908690788
"WALKING" "tBodyAcc-mean()-Z" -0.108881687638618
"WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.105761624860013
"WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.120537934670272
"LAYING" "tBodyAcc-std()-X" -0.960932405036523
"SITTING" "tBodyAcc-std()-X" -0.983446221750141
"STANDING" "tBodyAcc-std()-X" -0.98443471156873
"WALKING" "tBodyAcc-std()-X" -0.314644454310285
"WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" 0.100766330932127
"WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.237989747950635
"LAYING" "tBodyAcc-std()-Y" -0.943507185574074
"SITTING" "tBodyAcc-std()-Y" -0.934880562895515
"STANDING" "tBodyAcc-std()-Y" -0.932508714024134
"WALKING" "tBodyAcc-std()-Y" -0.0235829464260859
"WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" 0.0595486228783642
"WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.0160325123253303
"LAYING" "tBodyAcc-std()-Z" -0.948069300024897
"SITTING" "tBodyAcc-std()-Z" -0.938981580616207
"STANDING" "tBodyAcc-std()-Z" -0.939913504673138
"WALKING" "tBodyAcc-std()-Z" -0.2739207990668
"WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.190804507442162
"WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.175449700484728
"LAYING" "tGravityAcc-mean()-X" -0.375021333827161
"SITTING" "tGravityAcc-mean()-X" 0.879731193472144
"STANDING" "tGravityAcc-mean()-X" 0.941479635262329
"WALKING" "tGravityAcc-mean()-X" 0.93499157825784
"WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.926457404928876
"WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.875003375958549
"LAYING" "tGravityAcc-mean()-Y" 0.622270362899691
"SITTING" "tGravityAcc-mean()-Y" 0.108713540331707
"STANDING" "tGravityAcc-mean()-Y" -0.18424651390288
"WALKING" "tGravityAcc-mean()-Y" -0.196713497359117
"WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.168507222023357
"WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" -0.281377193548575
"LAYING" "tGravityAcc-mean()-Z" 0.55561247407572
"SITTING" "tGravityAcc-mean()-Z" 0.153774088505577
"STANDING" "tGravityAcc-mean()-Z" -0.0140519613122015
"WALKING" "tGravityAcc-mean()-Z" -0.0538251249015482
"WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" -0.0479709004743904
"WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" -0.14079566587547
"LAYING" "tGravityAcc-std()-X" -0.943319727953189
"SITTING" "tGravityAcc-std()-X" -0.979682230393922
"STANDING" "tGravityAcc-std()-X" -0.988015176652676
"WALKING" "tGravityAcc-std()-X" -0.977612074494773
"WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.949748838733997
"WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.948191332253886
"LAYING" "tGravityAcc-std()-Y" -0.963191706084414
"SITTING" "tGravityAcc-std()-Y" -0.957672740350591
"STANDING" "tGravityAcc-std()-Y" -0.969351769994753
"WALKING" "tGravityAcc-std()-Y" -0.966903875917538
"WALKING_DOWNSTAIRS" "tGravityAcc-std()-Y" -0.934266078534851
"WALKING_UPSTAIRS" "tGravityAcc-std()-Y" -0.925549271962435
"LAYING" "tGravityAcc-std()-Z" -0.951868724368827
"SITTING" "tGravityAcc-std()-Z" -0.947357438593134
"STANDING" "tGravityAcc-std()-Z" -0.953082525826338
"WALKING" "tGravityAcc-std()-Z" -0.954597565156794
"WALKING_DOWNSTAIRS" "tGravityAcc-std()-Z" -0.912460554516358
"WALKING_UPSTAIRS" "tGravityAcc-std()-Z" -0.901905618180052
"LAYING" "tBodyAccJerk-mean()-X" 0.0818473898341049
"SITTING" "tBodyAccJerk-mean()-X" 0.0758788492274395
"STANDING" "tBodyAccJerk-mean()-X" 0.0750279173525708
"WALKING" "tBodyAccJerk-mean()-X" 0.0767187377408595
"WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-X" 0.0892266917679481
"WALKING_UPSTAIRS" "tBodyAccJerk-mean()-X" 0.0767293215286917
"LAYING" "tBodyAccJerk-mean()-Y" 0.0111723565401199
"SITTING" "tBodyAccJerk-mean()-Y" 0.00504690529678683
"STANDING" "tBodyAccJerk-mean()-Y" 0.00880525863452886
"WALKING" "tBodyAccJerk-mean()-Y" 0.0115061924659823
"WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Y" 0.000746749097403983
"WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Y" 0.00875888964679404
"LAYING" "tBodyAccJerk-mean()-Z" -0.00485976942268338
"SITTING" "tBodyAccJerk-mean()-Z" -0.0024866605775919
"STANDING" "tBodyAccJerk-mean()-Z" -0.00458206132902833
"WALKING" "tBodyAccJerk-mean()-Z" -0.00231938614930952
"WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Z" -0.00872860399406828
"WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Z" -0.00600953398545337
"LAYING" "tBodyAccJerk-std()-X" -0.980381808513375
"SITTING" "tBodyAccJerk-std()-X" -0.984997226336522
"STANDING" "tBodyAccJerk-std()-X" -0.97996855569255
"WALKING" "tBodyAccJerk-std()-X" -0.267288163330981
"WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-X" -0.0338826468930654
"WALKING_UPSTAIRS" "tBodyAccJerk-std()-X" -0.360863432417876
"LAYING" "tBodyAccJerk-std()-Y" -0.971147567757202
"SITTING" "tBodyAccJerk-std()-Y" -0.973883160517726
"STANDING" "tBodyAccJerk-std()-Y" -0.964342752203568
"WALKING" "tBodyAccJerk-std()-Y" -0.103141139217389
"WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Y" -0.0736744063550434
"WALKING_UPSTAIRS" "tBodyAccJerk-std()-Y" -0.339226496686328
"LAYING" "tBodyAccJerk-std()-Z" -0.979476595910494
"SITTING" "tBodyAccJerk-std()-Z" -0.982296486972425
"STANDING" "tBodyAccJerk-std()-Z" -0.979485931469045
"WALKING" "tBodyAccJerk-std()-Z" -0.479147120981986
"WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Z" -0.388666069444772
"WALKING_UPSTAIRS" "tBodyAccJerk-std()-Z" -0.627063649764249
"LAYING" "tBodyGyro-mean()-X" -0.0167253403420918
"SITTING" "tBodyGyro-mean()-X" -0.0384313168439482
"STANDING" "tBodyGyro-mean()-X" -0.0266871408413746
"WALKING" "tBodyGyro-mean()-X" -0.0347275766522822
"WALKING_DOWNSTAIRS" "tBodyGyro-mean()-X" -0.0840345434632895
"WALKING_UPSTAIRS" "tBodyGyro-mean()-X" 0.00682449600215674
"LAYING" "tBodyGyro-mean()-Y" -0.0934107103603086
"SITTING" "tBodyGyro-mean()-Y" -0.0721208098964153
"STANDING" "tBodyGyro-mean()-Y" -0.0677118654705719
"WALKING" "tBodyGyro-mean()-Y" -0.0694200436104837
"WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Y" -0.0529928638977233
"WALKING_UPSTAIRS" "tBodyGyro-mean()-Y" -0.0885225289752966
"LAYING" "tBodyGyro-mean()-Z" 0.125885141252623
"SITTING" "tBodyGyro-mean()-Z" 0.0777771461510523
"STANDING" "tBodyGyro-mean()-Z" 0.0801422394994229
"WALKING" "tBodyGyro-mean()-Z" 0.0863626487285566
"WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Z" 0.0946781961059175
